COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,id
03014,No aplica,Calle,23807
03014,No aplica,Calle,23808
03014,No aplica,Calle,23809
03014,No aplica,Calle,23810
03014,No aplica,Calle,23811
03014,Curva señalizada,Carretera,23812
03014,No aplica,Calle,23813
03014,Recta,Carretera,23814
03014,No aplica,Calle,23815
03014,No aplica,Calle,23816
03014,No aplica,Calle,23817
03014,No aplica,Calle,23818
03014,No aplica,Calle,23819
03014,No aplica,Calle,23820
03014,No aplica,Calle,23821
03014,No aplica,Calle,23822
03014,No aplica,Calle,23823
03014,No aplica,Calle,23824
03014,No aplica,Calle,23825
03014,No aplica,Calle,23826
03014,No aplica,Calle,23827
03014,No aplica,Calle,23828
03014,No aplica,Calle,23829
03014,No aplica,Calle,23830
03014,Recta,Carretera,23831
03014,No aplica,Calle,23832
03014,No aplica,Calle,23833
03014,No aplica,Calle,23834
03014,No aplica,Calle,23835
03014,No aplica,Calle,23836
03014,No aplica,Calle,23837
03014,No aplica,Calle,23838
03014,No aplica,Calle,23839
03014,No aplica,Calle,23840
03014,No aplica,Calle,23841
03014,No aplica,Calle,23842
03014,No aplica,Calle,23843
03014,No aplica,Calle,23844
03014,No aplica,Calle,23845
03014,No aplica,Calle,23846
03014,No aplica,Calle,23847
03014,No aplica,Calle,23848
03014,No aplica,Calle,23849
03014,No aplica,Calle,23850
03014,No aplica,Calle,23851
03014,No aplica,Calle,23852
03014,No aplica,Calle,23853
03014,No aplica,Calle,23854
03014,Curva sin señalizar,Carretera,23855
03014,No aplica,Calle,23856
03014,No aplica,Calle,23857
03014,No aplica,Calle,23858
03014,No aplica,Calle,23859
03014,No aplica,Calle,23860
03014,No aplica,Calle,23861
03014,No aplica,Calle,23862
03014,No aplica,Calle,23863
03014,Recta,Carretera,23864
03014,Curva señalizada,Carretera,23865
03014,Recta,Carretera,23866
03014,Recta,Carretera,23867
03014,No aplica,Calle,23868
03014,No aplica,Calle,23869
03014,Recta,Carretera,23870
03014,No aplica,Calle,23871
03014,No aplica,Calle,23872
03014,No aplica,Calle,23873
03014,No aplica,Calle,23874
03014,No aplica,Calle,23875
03014,Recta,Carretera,23876
03014,No aplica,Calle,23877
03014,No aplica,Calle,23878
03014,No aplica,Calle,23879
03014,No aplica,Calle,23880
03014,No aplica,Calle,23881
03014,No aplica,Calle,23882
03014,No aplica,Calle,23883
03014,No aplica,Calle,23884
03014,No aplica,Calle,23885
03014,Recta,Carretera,23886
03014,No aplica,Calle,23887
03014,No aplica,Calle,23888
03014,No aplica,Calle,23889
03014,No aplica,Calle,23890
03014,Recta,Carretera,23891
03014,No aplica,Calle,23892
03014,No aplica,Calle,23893
03014,No aplica,Calle,23894
03014,No aplica,Calle,23895
03014,No aplica,Calle,23896
03014,Recta,Carretera,23897
03014,Recta,Carretera,23898
03014,No aplica,Calle,23899
03014,No aplica,Calle,23900
03014,Recta,Carretera,23901
03014,No aplica,Calle,23902
03014,No aplica,Calle,23903
03014,No aplica,Calle,23904
03014,Recta,Carretera,23905
03014,No aplica,Calle,23906
03014,Recta,Carretera,23907
03014,No aplica,Calle,23908
03014,No aplica,Calle,23909
03014,Recta,Carretera,23910
03014,No aplica,Calle,23911
03014,No aplica,Calle,23912
03014,Recta,Carretera,23913
03014,No aplica,Calle,23914
03014,No aplica,Calle,23915
03014,No aplica,Calle,23916
03014,No aplica,Calle,23917
03014,No aplica,Calle,23918
03014,No aplica,Calle,23919
03014,No aplica,Calle,23920
03014,No aplica,Calle,23921
