ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA,id
2018,6,JUEVES,14,Tarde,Dias laborables,7297
2018,6,JUEVES,11,Mañana,Dias laborables,7298
2018,6,VIERNES,13,Tarde,Dias laborables,7299
2018,7,DOMINGO,20,Noche,Fines de semana,7300
2018,7,LUNES,17,Tarde,Dias laborables,7301
2018,6,JUEVES,8,Mañana,Dias laborables,7302
2018,6,DOMINGO,2,Madrugada,Fines de semana,7303
2018,7,MIÉRCOLES,20,Noche,Dias laborables,7304
2018,7,MARTES,9,Mañana,Dias laborables,7305
2018,7,MIÉRCOLES,12,Tarde,Dias laborables,7306
2018,6,JUEVES,17,Tarde,Dias laborables,7307
2018,5,MIÉRCOLES,16,Tarde,Dias laborables,7308
2018,7,VIERNES,13,Tarde,Dias laborables,7309
2018,7,LUNES,9,Mañana,Dias laborables,7310
2018,7,MARTES,11,Mañana,Dias laborables,7311
2018,7,MARTES,19,Noche,Dias laborables,7312
2018,7,VIERNES,8,Mañana,Dias laborables,7313
2018,7,MARTES,17,Tarde,Dias laborables,7314
2018,7,MIÉRCOLES,21,Noche,Dias laborables,7315
2018,6,MARTES,12,Tarde,Dias laborables,7316
2018,7,JUEVES,8,Mañana,Dias laborables,7317
2018,7,MIÉRCOLES,20,Noche,Dias laborables,7318
2018,7,MIÉRCOLES,13,Tarde,Dias laborables,7319
2018,7,VIERNES,7,Mañana,Dias laborables,7320
2018,7,SÁBADO,11,Mañana,Fines de semana,7321
2018,7,JUEVES,15,Tarde,Dias laborables,7322
2018,7,JUEVES,18,Noche,Dias laborables,7323
2018,7,JUEVES,12,Tarde,Dias laborables,7324
2018,7,JUEVES,13,Tarde,Dias laborables,7325
2018,7,SÁBADO,11,Mañana,Fines de semana,7326
2018,7,VIERNES,13,Tarde,Dias laborables,7327
2018,7,MARTES,20,Noche,Dias laborables,7328
2018,7,MIÉRCOLES,7,Mañana,Dias laborables,7329
2018,7,VIERNES,10,Mañana,Dias laborables,7330
2018,7,VIERNES,14,Tarde,Dias laborables,7331
2018,7,LUNES,12,Tarde,Dias laborables,7332
2018,7,DOMINGO,13,Tarde,Fines de semana,7333
2018,7,MARTES,11,Mañana,Dias laborables,7334
2018,7,LUNES,8,Mañana,Dias laborables,7335
2018,7,DOMINGO,13,Tarde,Fines de semana,7336
2018,7,VIERNES,10,Mañana,Dias laborables,7337
